,Created Date,Closed Date,Agency Name,Complaint Type,Status,Street Name,Location Type,Borough,Latitude,Longitude,created_timestamp,created_hour,created_month,created_day
133862,04/30/2015 03:48:30 PM,05/06/2015 12:20:59 PM,Department of Transportation,Street Condition,Closed,98 STREET,Street,QUEENS,40.69787469489139,-73.84921176101562,1430354910.0,3,4,3
1624296,04/17/2015 02:07:06 PM,04/21/2015 01:35:00 PM,Department of Transportation,Street Condition,Closed,,,QUEENS,,,1429225626.0,2,4,4
1601079,04/05/2015 11:50:11 AM,05/07/2015 07:15:00 AM,Department of Transportation,Street Condition,Closed,,,STATEN ISLAND,40.54058752771319,-74.2215341962543,1428223811.0,11,4,6
1626488,04/18/2015 07:23:08 PM,04/18/2015 07:23:08 PM,Department of Buildings,General Construction/Plumbing,Open,BLAKE AVENUE,,QUEENS,40.67282649363188,-73.86058444762728,1429330988.0,7,4,5
1629274,04/20/2015 07:46:00 PM,04/23/2015 12:00:00 PM,A - Manhattan,Dirty Conditions,Closed,EAST    2 STREET,Sidewalk,MANHATTAN,40.72218663620953,-73.98385575443686,1429505160.0,7,4,0
1400065,04/28/2015 05:23:00 PM,04/29/2015 12:00:00 PM,Queens West 03,Sanitation Condition,Closed,82 STREET,Street,QUEENS,40.74940695239717,-73.884237226846,1430187780.0,5,4,1
2077757,04/11/2015 11:41:18 AM,04/11/2015 03:46:56 PM,New York City Police Department,Noise - Residential,Closed,GARDEN STREET,Residential Building/House,BRONX,40.84929761661877,-73.88323203691445,1428741678.0,11,4,5
2075301,04/07/2015 07:15:35 PM,04/07/2015 08:36:06 PM,New York City Police Department,Noise - Residential,Closed,CHAUNCEY STREET,Residential Building/House,BROOKLYN,40.680399018120205,-73.92941723335177,1428380135.0,7,4,1
708988,04/09/2015 12:00:00 AM,04/23/2015 12:00:00 AM,Department of Housing Preservation and Development,GENERAL,Closed,FLATLANDS    6 STREET,RESIDENTIAL BUILDING,BROOKLYN,40.64226198001,-73.88685536466816,1428570000.0,12,4,3
839989,04/23/2015 12:00:00 AM,05/05/2015 12:00:00 AM,Department of Housing Preservation and Development,ELECTRIC,Closed,CRESTON AVENUE,RESIDENTIAL BUILDING,BRONX,40.86720714532088,-73.89501611800377,1429779600.0,12,4,3
297766,04/29/2015 12:00:00 AM,04/30/2015 12:00:00 AM,Department of Housing Preservation and Development,HEAT/HOT WATER,Closed,2 AVENUE,RESIDENTIAL BUILDING,MANHATTAN,40.728425953002294,-73.98778334447101,1430298000.0,12,4,2
2075230,04/07/2015 09:32:36 PM,04/07/2015 11:27:54 PM,New York City Police Department,Noise - Residential,Closed,RIVERSIDE DRIVE,Residential Building/House,MANHATTAN,40.821912395080155,-73.95654212319191,1428388356.0,9,4,1
1197427,04/11/2015 06:59:23 PM,04/11/2015 07:04:34 PM,New York City Police Department,Noise - Commercial,Closed,BROADWAY,Club/Bar/Restaurant,QUEENS,40.763314690560776,-73.92819586194035,1428724763.0,6,4,5
2082417,04/18/2015 06:00:30 AM,04/18/2015 06:59:15 AM,New York City Police Department,Noise - Residential,Closed,EAST 23 STREET,Residential Building/House,MANHATTAN,40.739341420550296,-73.98432432194892,1429326030.0,6,4,5
1626473,04/18/2015 11:52:00 AM,04/19/2015 10:10:00 AM,Department of Environmental Protection,Water System,Closed,NEEDHAM AVE,,BRONX,40.87934341095846,-73.84965362414741,1429347120.0,11,4,5
1639550,04/24/2015 07:56:00 AM,04/22/2015 07:56:00 AM,Department of Transportation,Street Light Condition,Pending,,,QUEENS,40.73941653065781,-73.92039459176159,1429851360.0,7,4,4
933988,04/28/2015 11:35:33 AM,05/05/2015 09:03:43 AM,Department of Parks and Recreation,Dead Tree,Closed,WEST END AVENUE,Street,MANHATTAN,40.786747843097096,-73.97943449567217,1430210133.0,11,4,1
1628195,04/19/2015 08:01:00 AM,04/25/2015 12:00:00 PM,A - Manhattan,Dirty Conditions,Closed,,Sidewalk,MANHATTAN,40.807550586813306,-73.95290309754714,1429419660.0,8,4,6
65082,04/22/2015 08:05:17 PM,04/29/2015 02:05:13 PM,Department of Transportation,Street Condition,Closed,LITTLE NECK PARKWAY,Street,QUEENS,40.73202815002161,-73.71130856032033,1429679117.0,8,4,2
694097,04/02/2015 12:00:00 AM,04/14/2015 12:00:00 AM,Department of Housing Preservation and Development,UNSANITARY CONDITION,Closed,IRVING AVENUE,RESIDENTIAL BUILDING,BROOKLYN,40.703387193268256,-73.92203535541748,1427965200.0,12,4,3
695770,04/03/2015 12:00:00 AM,04/15/2015 12:00:00 AM,Department of Housing Preservation and Development,UNSANITARY CONDITION,Closed,WEST  108 STREET,RESIDENTIAL BUILDING,MANHATTAN,40.80021151914278,-73.96114699217323,1428051600.0,12,4,4
1636657,04/23/2015 11:23:00 PM,04/24/2015 12:00:00 PM,Queens West 03,Sanitation Condition,Closed,74 STREET,Sidewalk,QUEENS,40.759711635213826,-73.8937127968459,1429777380.0,11,4,3
840348,04/24/2015 12:00:00 AM,05/20/2015 12:00:00 AM,Department of Housing Preservation and Development,PAINT/PLASTER,Closed,SOUTHERN BOULEVARD,RESIDENTIAL BUILDING,BRONX,40.85243350413133,-73.88194330601813,1429866000.0,12,4,4
699047,04/05/2015 12:00:00 AM,04/07/2015 12:00:00 AM,Department of Housing Preservation and Development,HEAT/HOT WATER,Closed,BOSTON ROAD,RESIDENTIAL BUILDING,BRONX,40.84210705842014,-73.87847758223202,1428224400.0,12,4,6
