,Created Date,Closed Date,Agency Name,Complaint Type,Status,Street Name,Location Type,Borough,Latitude,Longitude,created_timestamp,created_hour,created_month,created_day
1235309,08/25/2015 10:35:59 AM,,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Open,EAST 24 STREET,Street,BROOKLYN,40.61593785219948,-73.95063581616127,1440488159.0,10,8,1
1141518,08/19/2015 12:59:52 PM,,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Open,ELY AVENUE,Street,BRONX,40.89356533588965,-73.8467604423538,1439978392.0,12,8,2
1504180,08/20/2015 02:34:00 PM,08/21/2015 12:00:00 PM,A - Brooklyn,Dirty Conditions,Closed,EAST   93 STREET,Sidewalk,BROOKLYN,40.64086306889127,-73.90288503002414,1440027240.0,2,8,3
98387,08/25/2015 02:01:18 PM,02/11/2016 12:00:00 AM,Department of Buildings,General Construction/Plumbing,Closed,79 AVENUE,,QUEENS,40.694845454646675,-73.89750171594066,1440457278.0,2,8,1
182630,08/11/2015 12:44:35 PM,08/11/2015 02:25:27 PM,New York City Police Department,Derelict Vehicle,Closed,MEMPHIS AVENUE,Street/Sidewalk,STATEN ISLAND,40.54816849365292,-74.17383192322478,1439286275.0,12,8,1
1280044,08/28/2015 10:47:36 PM,08/29/2015 01:04:13 AM,New York City Police Department,Noise - Street/Sidewalk,Closed,,Street/Sidewalk,QUEENS,40.68623957380662,-73.83905914257356,1440748056.0,10,8,4
1808701,08/17/2015 09:08:00 PM,08/21/2015 12:00:00 PM,A - Queens,Dirty Conditions,Closed,104 STREET,Lot,QUEENS,40.759088538576535,-73.86486182069035,1439791680.0,9,8,0
1157846,08/13/2015 04:08:06 PM,08/14/2015 07:58:21 PM,Department of Housing Preservation and Development,FLOORING/STAIRS,Closed,EAST  117 STREET,RESIDENTIAL BUILDING,MANHATTAN,40.79618071822122,-73.9337007042713,1439428086.0,4,8,3
1827086,08/28/2015 04:07:00 PM,08/29/2015 12:00:00 PM,BCC - Bronx,Sanitation Condition,Closed,FURMAN AVENUE,Sidewalk,BRONX,40.89610361442673,-73.8548243342487,1440724020.0,4,8,4
814112,08/09/2015 08:39:12 PM,08/21/2015 10:14:39 AM,Department of Parks and Recreation,Maintenance or Facility,Closed,,Beach,QUEENS,,,1439098752.0,8,8,6
1269494,08/18/2015 01:50:07 PM,08/19/2015 01:18:46 PM,Department of Transportation,Broken Muni Meter,Closed,,Street,MANHATTAN,40.74339016192317,-73.9861458137559,1439851807.0,1,8,1
1114868,08/02/2015 01:10:30 AM,08/12/2015 12:39:33 PM,Department of Housing Preservation and Development,PAINT/PLASTER,Closed,AVENUE H,RESIDENTIAL BUILDING,BROOKLYN,40.631843821547065,-73.9444128761381,1438467030.0,1,8,6
1255906,08/27/2015 09:58:01 AM,08/27/2015 09:58:04 AM,HRA Benefit Card Replacement,Benefit Card Replacement,Closed,,NYC Street Address,Unspecified,,,1440658681.0,9,8,3
922184,08/02/2015 06:30:25 PM,08/17/2015 10:13:31 AM,Department of Housing Preservation and Development,ELECTRIC,Closed,WALLACE AVENUE,RESIDENTIAL BUILDING,BRONX,40.855864754903706,-73.86477725055627,1438486225.0,6,8,6
1250010,08/18/2015 08:47:06 PM,08/20/2015 08:06:03 PM,Department of Housing Preservation and Development,HEAT/HOT WATER,Closed,EAST    4 STREET,RESIDENTIAL BUILDING,BROOKLYN,40.59523432704477,-73.96734440260906,1439876826.0,8,8,1
1148853,08/06/2015 04:30:52 PM,,DPR,Agency Issues,Email Sent,,,Unspecified,,,1438824652.0,4,8,3
